age,price,mileage_per_year,engineSize,mpg,tax,cluster,segment
1.4772660304810874,-0.45450763368997155,1.263805665309365,0.6996750564135367,0.32388363119543745,0.13740976099678243,2,Premium
1.4772660304810874,-0.3745922526166715,-0.06673494201250636,0.3272350769532736,1.5305952427614014,-1.8862980592798373,0,Economy
-0.44500596754244864,0.6614330473407863,-0.6320780456124642,0.6996750564135367,-0.08729217719000198,0.4612030122410416,3,Luxury
0.9966980309752034,0.19573910007910997,1.1531514454160976,0.6996750564135367,0.672489207870049,-1.4006081824134484,0,Economy
-0.9255739670483327,1.2352139848310988,0.0841819769635959,0.6996750564135367,-1.526407506539039,0.4612030122410416,3,Luxury
0.5161300314693194,0.14342039736205744,-0.2441373446524068,0.6996750564135367,-0.7308717033585154,0.4612030122410416,2,Premium
-0.9255739670483327,0.6614330473407863,-1.2718050879816567,0.6996750564135367,-1.5711005291896303,0.4612030122410416,3,Luxury
-0.9255739670483327,-0.43151040172643196,-0.9254028411156631,-1.1625248408877793,-0.2660642677923669,0.4612030122410416,1,Mid-range
-0.44500596754244864,-0.5804174786903508,-0.4968917227451603,-1.1625248408877793,0.9317087392434786,0.5421513250521064,1,Mid-range
-0.9255739670483327,0.7188111410898176,0.3026097742552422,-0.04520490250698953,-1.7409340152618775,0.5421513250521064,3,Luxury
0.03556203196343534,-0.8333870302892861,-0.08277208307111725,-0.2314248922371213,2.075850119098614,0.4612030122410416,1,Mid-range
0.03556203196343534,-0.22396038325548728,-0.08843402207396947,0.6996750564135367,-0.5878540308766232,0.7849962634853007,2,Premium
0.03556203196343534,-0.2930670653059237,-0.04705368063822969,0.14101508722314182,0.5741645580387488,0.4612030122410416,2,Premium
-0.9255739670483327,4.108718118675369,-0.9322952623030258,2.561874953714853,-1.9375833149244786,0.5421513250521064,3,Luxury
-0.9255739670483327,1.9252459298971039,-0.9310561753479942,0.6996750564135367,-0.6593628671175696,0.4612030122410416,3,Luxury
0.03556203196343534,-0.2826033247625132,1.5538896891150722,0.6996750564135367,0.9317087392434786,0.4612030122410416,2,Premium
-1.4061419665542167,2.150503816979974,-0.782623883859846,0.6996750564135367,-0.5074065901055592,0.4612030122410416,3,Luxury
-0.9255739670483327,-0.7991211546636121,-1.163617308220469,-1.1625248408877793,-0.5074065901055592,0.4612030122410416,1,Mid-range
